ReviewText,Rating,SentimentLabel,ProductCategory,ReviewDate,ReviewerInformation,Cleaned_Review
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,2,Negative,Books,2017-10-08,Isaac1980,amazing read gripping story loved would definitely consider buying
Fits perfectly and looks great! Would definitely consider buying again!,4,Positive,Clothing,2022-09-27,Jenna9171,fits perfectly looks great would definitely consider buying
Terrible fit and poor quality fabric. I would not recommend this to anyone.,3,Neutral,Clothing,2023-09-02,Charles4223,terrible fit poor quality fabric would recommend anyone
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",2,Negative,Books,2015-10-11,Robert4825,plot boring writing subpar would recommend anyone
An amazing read with a gripping story. Loved it!,5,Positive,Books,2020-01-01,Samantha6078,amazing read gripping story loved
This product works perfectly.,2,Negative,Electronics,2018-12-08,Jessica3739,product works perfectly
The device is fine but nothing exceptional.,2,Negative,Electronics,2020-09-25,Michelle6024,device fine nothing exceptional
This product works perfectly. Highly recommended!,4,Positive,Electronics,2022-05-20,Gabriella9173,product works perfectly highly recommended
The device is fine but nothing exceptional.,5,Positive,Electronics,2018-04-23,Robert8958,device fine nothing exceptional
"The plot was boring, and the writing was subpar.",2,Negative,Books,2021-07-01,Vanessa3259,plot boring writing subpar
The material is average but wearable. I would not recommend this to anyone.,4,Positive,Clothing,2017-08-22,Christopher8894,material average wearable would recommend anyone
"The book is okay, but not my favorite genre.",3,Neutral,Books,2015-01-20,Lauren3155,book okay favorite genre
It stopped working after a week. Really disappointed.,3,Neutral,Electronics,2023-11-03,Jack9783,stopped working week really disappointed
The device is fine but nothing exceptional.,1,Negative,Electronics,2018-04-21,Miranda4176,device fine nothing exceptional
Fits perfectly and looks great!,2,Negative,Clothing,2022-06-04,Jerry5641,fits perfectly looks great
Fits perfectly and looks great!.,3,Neutral,Clothing,2021-03-19,Becky9797,fits perfectly looks great
Terrible fit and poor quality fabric. I would not recommend this to anyone.,1,Negative,Clothing,2015-07-08,Tom7318,terrible fit poor quality fabric would recommend anyone
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2022-08-05,Stephanie9829,stopped working week really disappointed would recommend anyone
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",1,Negative,Books,2017-06-02,Jesse9829,book okay favorite genre would recommend anyone
It stopped working after a week.,1,Negative,Electronics,2015-11-04,Kari9745,stopped working week
The device is fine but nothing exceptional.,4,Positive,Electronics,2018-11-11,Cheryl3905,device fine nothing exceptional
The device is fine but nothing exceptional. I would not recommend this to anyone.,2,Negative,Electronics,2019-10-29,Katie1129,device fine nothing exceptional would recommend anyone
Fits perfectly and looks great!,4,Positive,Clothing,2021-02-21,Sara3396,fits perfectly looks great
Terrible fit and poor quality fabric.,2,Negative,Clothing,2015-09-01,Gregory6730,terrible fit poor quality fabric
It stopped working after a week. Really disappointed.,5,Positive,Electronics,2023-08-20,Kristina3779,stopped working week really disappointed
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2021-10-07,Christian2182,fits perfectly looks great would definitely consider buying
"The book is okay, but not my favorite genre.",1,Negative,Books,2022-04-20,Dorothy7354,book okay favorite genre
It stopped working after a week.,2,Negative,Electronics,2020-05-10,John5112,stopped working week
The material is average but wearable. I would not recommend this to anyone.,1,Negative,Clothing,2022-05-04,Sherry9628,material average wearable would recommend anyone
