ReviewText,Rating,SentimentLabel,ProductCategory,ReviewDate,ReviewerInformation
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,2,Negative,Books,2017-10-08,Isaac1980
Fits perfectly and looks great! Would definitely consider buying again!,4,Positive,Clothing,2022-09-27,Jenna9171
Terrible fit and poor quality fabric. I would not recommend this to anyone.,3,Neutral,Clothing,2023-09-02,Charles4223
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",2,Negative,Books,2015-10-11,Robert4825
An amazing read with a gripping story. Loved it!,5,Positive,Books,2020-01-01,Samantha6078
This product works perfectly.,2,Negative,Electronics,2018-12-08,Jessica3739
The device is fine but nothing exceptional.,2,Negative,Electronics,2020-09-25,Michelle6024
This product works perfectly. Highly recommended!,4,Positive,Electronics,2022-05-20,Gabriella9173
The device is fine but nothing exceptional.,5,Positive,Electronics,2018-04-23,Robert8958
"The plot was boring, and the writing was subpar.",2,Negative,Books,2021-07-01,Vanessa3259
The material is average but wearable. I would not recommend this to anyone.,4,Positive,Clothing,2017-08-22,Christopher8894
"The book is okay, but not my favorite genre.",3,Neutral,Books,2015-01-20,Lauren3155
It stopped working after a week. Really disappointed.,3,Neutral,Electronics,2023-11-03,Jack9783
The device is fine but nothing exceptional.,1,Negative,Electronics,2018-04-21,Miranda4176
Fits perfectly and looks great!,2,Negative,Clothing,2022-06-04,Jerry5641
Fits perfectly and looks great!.,3,Neutral,Clothing,2021-03-19,Becky9797
Terrible fit and poor quality fabric. I would not recommend this to anyone.,1,Negative,Clothing,2015-07-08,Tom7318
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2022-08-05,Stephanie9829
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",1,Negative,Books,2017-06-02,Jesse9829
It stopped working after a week.,1,Negative,Electronics,2015-11-04,Kari9745
The device is fine but nothing exceptional.,4,Positive,Electronics,2018-11-11,Cheryl3905
The device is fine but nothing exceptional. I would not recommend this to anyone.,2,Negative,Electronics,2019-10-29,Katie1129
Fits perfectly and looks great!,4,Positive,Clothing,2021-02-21,Sara3396
Terrible fit and poor quality fabric.,2,Negative,Clothing,2015-09-01,Gregory6730
It stopped working after a week. Really disappointed.,5,Positive,Electronics,2023-08-20,Kristina3779
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2021-10-07,Christian2182
"The book is okay, but not my favorite genre.",1,Negative,Books,2022-04-20,Dorothy7354
It stopped working after a week.,2,Negative,Electronics,2020-05-10,John5112
The material is average but wearable. I would not recommend this to anyone.,1,Negative,Clothing,2022-05-04,Sherry9628
"The book is okay, but not my favorite genre.",2,Negative,Books,2018-11-15,Mia7012
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2021-03-06,Annette1634
The device is fine but nothing exceptional.,2,Negative,Electronics,2022-08-30,Ashley4774
Terrible fit and poor quality fabric.,1,Negative,Clothing,2021-05-11,Christopher7777
It stopped working after a week. Really disappointed.,3,Neutral,Electronics,2015-08-19,Ashley8015
Terrible fit and poor quality fabric.,2,Negative,Clothing,2020-05-27,Aaron1967
An amazing read with a gripping story.,2,Negative,Books,2021-06-19,Victoria6651
It stopped working after a week. Really disappointed.,5,Positive,Electronics,2020-02-18,Vanessa2724
Fits perfectly and looks great!,4,Positive,Clothing,2021-06-14,Felicia1230
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,4,Positive,Books,2020-10-09,Angela8675
The material is average but wearable.,3,Neutral,Clothing,2022-10-20,Sherry3739
This product works perfectly.,5,Positive,Electronics,2019-12-15,Nicole3815
This product works perfectly. Highly recommended! Would definitely consider buying again!,2,Negative,Electronics,2023-08-11,Jill7458
Terrible fit and poor quality fabric. I would not recommend this to anyone.,4,Positive,Clothing,2018-03-13,Darrell2074
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2021-04-24,Patrick3862
An amazing read with a gripping story. Loved it!,4,Positive,Books,2021-04-19,Tyler2923
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,5,Positive,Electronics,2019-11-16,James9670
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,3,Neutral,Books,2016-10-07,Julie7326
The device is fine but nothing exceptional.,5,Positive,Electronics,2018-06-12,Jeremy7253
"The book is okay, but not my favorite genre.",1,Negative,Books,2018-05-24,Jamie2370
The material is average but wearable.,5,Positive,Clothing,2023-01-26,Thomas2626
"The book is okay, but not my favorite genre.",4,Positive,Books,2019-07-12,Christine1540
Fits perfectly and looks great! Would definitely consider buying again!,1,Negative,Clothing,2018-11-15,Tammy6504
The device is fine but nothing exceptional. I would not recommend this to anyone.,3,Neutral,Electronics,2017-02-26,Curtis4180
An amazing read with a gripping story.,4,Positive,Books,2018-12-14,Faith4820
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,3,Neutral,Electronics,2019-12-28,Daniel8991
Fits perfectly and looks great!.,4,Positive,Clothing,2018-01-05,Patricia9172
Terrible fit and poor quality fabric.,1,Negative,Clothing,2018-03-18,David3831
"The plot was boring, and the writing was subpar.",2,Negative,Books,2016-02-14,Jonathan2046
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,5,Positive,Electronics,2020-10-11,Ryan4622
This product works perfectly.,3,Neutral,Electronics,2018-07-03,Alexandria5207
It stopped working after a week.,1,Negative,Electronics,2019-04-12,Mary5307
Fits perfectly and looks great! Would definitely consider buying again!,2,Negative,Clothing,2022-09-18,Keith8447
Terrible fit and poor quality fabric.,3,Neutral,Clothing,2018-10-13,Allen9023
The material is average but wearable.,1,Negative,Clothing,2015-03-05,Eric5358
An amazing read with a gripping story.,4,Positive,Books,2017-04-27,Nicole8457
"The plot was boring, and the writing was subpar.",5,Positive,Books,2023-09-04,Stephanie2314
The material is average but wearable.,4,Positive,Clothing,2020-10-28,Kristy3044
"The book is okay, but not my favorite genre.",3,Neutral,Books,2018-09-06,Gregory9577
The device is fine but nothing exceptional. I would not recommend this to anyone.,5,Positive,Electronics,2022-01-17,Shelley7442
It stopped working after a week. Really disappointed.,4,Positive,Electronics,2022-08-18,Jenna5202
"The book is okay, but not my favorite genre.",4,Positive,Books,2020-05-10,Patricia4194
Fits perfectly and looks great!,3,Neutral,Clothing,2015-12-01,Nicholas7833
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",2,Negative,Books,2023-09-21,Laura7324
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,2,Negative,Books,2015-04-16,James6006
The device is fine but nothing exceptional.,1,Negative,Electronics,2015-03-04,Christopher5073
The device is fine but nothing exceptional. I would not recommend this to anyone.,4,Positive,Electronics,2020-03-09,Douglas2885
Fits perfectly and looks great! Would definitely consider buying again!,3,Neutral,Clothing,2020-02-18,Luke8476
The material is average but wearable.,3,Neutral,Clothing,2023-02-04,Dawn8998
The device is fine but nothing exceptional.,5,Positive,Electronics,2019-04-16,Mariah2526
"The book is okay, but not my favorite genre.",4,Positive,Books,2020-08-14,Elizabeth9431
"The plot was boring, and the writing was subpar.",3,Neutral,Books,2015-03-17,Katherine2895
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2019-07-12,Andrew7406
An amazing read with a gripping story. Loved it!,1,Negative,Books,2020-01-13,Jessica8402
The material is average but wearable. I would not recommend this to anyone.,1,Negative,Clothing,2023-06-23,Denise3610
"The book is okay, but not my favorite genre. I would not recommend this to anyone.",4,Positive,Books,2023-08-02,Adam8957
The material is average but wearable. I would not recommend this to anyone.,1,Negative,Clothing,2018-04-06,Joshua9185
This product works perfectly.,2,Negative,Electronics,2023-04-29,Brenda9743
"The plot was boring, and the writing was subpar.",5,Positive,Books,2021-06-28,Katherine4221
This product works perfectly. Highly recommended! Would definitely consider buying again!,4,Positive,Electronics,2018-04-20,Heather8590
It stopped working after a week. Really disappointed.,3,Neutral,Electronics,2016-11-25,Edward9548
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,5,Positive,Books,2016-06-12,Sandra5267
This product works perfectly. Highly recommended!,4,Positive,Electronics,2022-08-29,Scott4934
It stopped working after a week.,3,Neutral,Electronics,2022-04-06,Malik4815
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,4,Positive,Electronics,2022-01-25,Karen7698
The device is fine but nothing exceptional.,4,Positive,Electronics,2023-09-27,Sara7134
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2016-09-20,Michael8019
It stopped working after a week. Really disappointed. I would not recommend this to anyone.,1,Negative,Electronics,2018-04-22,Matthew1310
"The plot was boring, and the writing was subpar. I would not recommend this to anyone.",5,Positive,Books,2021-04-04,Whitney8348
Fits perfectly and looks great!,1,Negative,Clothing,2021-06-17,Dawn2810
Fits perfectly and looks great!.,3,Neutral,Clothing,2022-08-06,Rebecca7187
"The book is okay, but not my favorite genre.",1,Negative,Books,2019-01-01,Karen8044
The material is average but wearable. I would not recommend this to anyone.,1,Negative,Clothing,2023-10-08,Jennifer5531
The material is average but wearable.,4,Positive,Clothing,2023-07-04,Laura5213
The material is average but wearable.,4,Positive,Clothing,2016-04-26,Bryan3893
Terrible fit and poor quality fabric.,5,Positive,Clothing,2020-02-16,Sherri3182
This product works perfectly. Highly recommended!,5,Positive,Electronics,2022-07-23,Edwin3043
An amazing read with a gripping story. Loved it!,3,Neutral,Books,2015-08-06,Donald6394
Terrible fit and poor quality fabric.,2,Negative,Clothing,2015-10-21,Victoria2568
Terrible fit and poor quality fabric.,1,Negative,Clothing,2017-06-06,Amanda2508
It stopped working after a week. Really disappointed.,2,Negative,Electronics,2018-02-04,Ryan6753
An amazing read with a gripping story.,4,Positive,Books,2021-04-06,Melissa5254
"The plot was boring, and the writing was subpar.",5,Positive,Books,2015-05-20,Victoria9137
Fits perfectly and looks great! Would definitely consider buying again!,5,Positive,Clothing,2020-04-12,Lauren7561
The material is average but wearable.,2,Negative,Clothing,2022-12-08,Lisa7498
"The plot was boring, and the writing was subpar.",4,Positive,Books,2022-11-28,Max6013
This product works perfectly. Highly recommended! Would definitely consider buying again!,1,Negative,Electronics,2019-12-13,George2162
The material is average but wearable.,4,Positive,Clothing,2018-04-14,Eric4565
"The plot was boring, and the writing was subpar.",3,Neutral,Books,2020-11-07,Brittany2666
An amazing read with a gripping story. Loved it! Would definitely consider buying again!,4,Positive,Books,2023-01-02,Kristin4930
Fits perfectly and looks great!.,5,Positive,Clothing,2017-10-19,Jimmy4330
The device is fine but nothing exceptional. I would not recommend this to anyone.,4,Positive,Electronics,2018-02-22,Andrea3850
"The plot was boring, and the writing was subpar.",4,Positive,Books,2022-06-30,Michelle6115
The device is fine but nothing exceptional. I would not recommend this to anyone.,3,Neutral,Electronics,2020-02-21,Eric7494
This product works perfectly. Highly recommended! Would definitely consider buying again!,1,Negative,Electronics,2018-11-06,Kimberly8758
